family_accession,family_id
PF07996.11,T4SS
PF11372.8,DUF3173
PF08227.11,DASH_Hsk3
PF14103.6,DUF4276
PF10506.9,MCC-bdg_PDZ
PF17036.5,CBP_BcsS
PF18618.1,HP0268
PF09585.10,Lin0512_fam
PF17855.1,MCM_lid
PF06814.13,Lung_7-TM_R
PF02838.15,Glyco_hydro_20b
PF00273.20,Serum_albumin
PF16968.5,TadZ_N
PF01344.25,Kelch_1
PF04715.13,Anth_synt_I_N
PF02349.15,MSG
PF04916.13,Phospholip_B
PF16873.5,AbiGii_2
PF12062.8,HSNSD
PF05103.13,DivIVA
PF14569.6,zf-UDP
PF12100.8,DUF3576
PF02486.19,Rep_trans
PF07171.12,MlrC_C
PF05267.12,DUF725
PF17245.2,CDC24_OB2
PF13514.6,AAA_27
PF12277.8,DUF3618
PF13175.6,AAA_15
PF03360.16,Glyco_transf_43
PF01333.19,Apocytochr_F_C
PF12768.7,Rax2
PF07818.13,HCNGP
PF06592.13,DUF1138
PF04803.12,Cor1
PF18262.1,PhetRS_B1
PF17255.2,EbsA
PF07609.11,DUF1572
PF08088.12,Toxin_19
PF16942.5,CclA_1
PF11268.8,DUF3071
PF00073.20,Rhv
PF08365.11,IGF2_C
PF10241.9,KxDL
PF04623.12,Adeno_E1B_55K_N
PF13270.6,DUF4061
PF16480.5,DUF5057
PF14995.6,TMEM107
PF02778.14,tRNA_int_endo_N
PF04301.13,DUF452
PF17066.5,RITA
PF14401.6,RLAN
PF09100.10,Qn_am_d_aIV
PF08220.12,HTH_DeoR
PF17849.1,OB_Dis3
PF01624.20,MutS_I
PF09270.10,BTD
PF10084.9,DUF2322
PF17018.5,MICSWaP
PF10645.9,Carb_bind
PF06055.12,ExoD
PF00455.22,DeoRC
PF11627.8,HnRNPA1
PF05699.14,Dimer_Tnp_hAT
PF08222.11,HTH_CodY
PF03573.13,OprD
PF12348.8,CLASP_N
PF15916.5,DUF4743
PF14188.6,DUF4311
PF13297.6,Telomere_Sde2_2
PF13397.6,RbpA
PF05592.11,Bac_rhamnosid
PF10558.9,MTP18
PF13470.6,PIN_3
PF00862.19,Sucrose_synth
PF00916.20,Sulfate_transp
PF02670.16,DXP_reductoisom
PF16440.5,DUF5037
PF00642.24,zf-CCCH
PF14025.6,DUF4241
PF07775.11,PaRep2b
PF16182.5,AbLIM_anchor
PF16585.5,Lipocalin_8
PF09482.10,OrgA_MxiK
PF03496.14,ADPrib_exo_Tox
PF13909.6,zf-H2C2_5
PF01076.19,Mob_Pre
PF16057.5,DUF4800
PF02449.15,Glyco_hydro_42
PF00066.17,Notch
PF17718.1,DUF5563
PF16534.5,ULD
PF14288.6,FKS1_dom1
PF04120.12,Iron_permease
PF02867.15,Ribonuc_red_lgC
PF17326.2,DUF5365
PF07191.12,zinc-ribbons_6
PF10997.8,Amj
PF02998.14,Lentiviral_Tat
PF05224.12,NDT80_PhoG
PF15313.6,HEXIM
PF09913.9,DUF2142
PF07173.12,GRDP-like
PF11351.8,GTA_holin_3TM
PF07550.11,DUF1533
PF07975.12,C1_4
PF01993.18,MTD
PF00513.18,Late_protein_L2
PF07808.13,RED_N
PF14922.6,FWWh
PF02341.15,RcbX
PF17391.2,Urocanase_N
PF03876.17,SHS2_Rpb7-N
PF17074.5,Darcynin
PF14898.6,DUF4491
PF03370.13,CBM_21
PF04305.14,DUF455
PF14522.6,Cytochrome_C7
PF18789.1,DarA_C
PF06703.11,SPC25
PF05964.14,FYRN
PF10210.9,MRP-S32
PF07586.11,HXXSHH
PF13700.6,DUF4158
PF14410.6,GH-E
PF02748.15,PyrI_C
PF05171.12,HemS
PF12777.7,MT
PF00290.20,Trp_syntA
PF11190.8,DUF2976
PF12550.8,GCR1_C
PF03698.13,UPF0180
PF08641.12,Mis14
PF08890.11,Phage_TAC_5
PF17390.2,Bac_rhamnosid_C
PF11783.8,Cytochrome_cB
PF08424.10,NRDE-2
PF12018.8,FAP206
PF10494.9,Stk19
PF14433.6,SUKH-3
PF12336.8,SOXp
PF18394.1,TBK1_CCD1
PF11857.8,DUF3377
PF08297.11,U3_snoRNA_assoc
PF00899.21,ThiF
PF09697.10,Porph_ging
PF11864.8,DUF3384
PF08280.11,HTH_Mga
PF11151.8,DUF2929
PF05737.12,Collagen_bind
PF12141.8,DUF3589
PF09556.10,RE_HaeIII
PF04091.12,Sec15
PF15407.6,Spo7_2_N
PF00439.25,Bromodomain
PF14598.6,PAS_11
PF01958.18,DUF108
PF11718.8,CPSF73-100_C
PF02553.15,CbiN
PF02980.16,FokI_C
PF00728.22,Glyco_hydro_20
PF13681.6,PilX
PF09884.9,DUF2111
PF18398.1,CLIP_SPH_mas
PF17313.2,DUF5359
PF11211.8,DUF2997
PF15386.6,Tantalus
PF18033.1,SpuA_C
PF08755.11,YccV-like
PF15672.5,Mucin15
PF08636.10,Pkr1
PF12222.8,PNGaseA
PF01681.17,C6
PF16865.5,GST_C_5
PF04535.12,DUF588
PF15368.6,BioT2
PF07740.12,Toxin_12
PF18432.1,ECD
PF18066.1,Phage_ABA_S
PF03992.16,ABM
PF11286.8,DUF3087
PF17185.4,NlpE_C
PF16947.5,Ferredoxin_N
PF01022.20,HTH_5
PF10947.8,DUF2628
PF04990.12,RNA_pol_Rpb1_7
PF02827.16,PKI
PF00941.21,FAD_binding_5
PF05053.13,Menin
PF14144.6,DOG1
PF07776.15,zf-AD
PF09791.9,Oxidored-like
PF12531.8,DUF3731
PF07195.12,FliD_C
PF06582.12,Titin_Ig-rpts
PF09694.10,Gcw_chp
PF02782.16,FGGY_C
PF00347.23,Ribosomal_L6
PF13662.6,Toprim_4
PF07726.11,AAA_3
PF13558.6,SbcCD_C
PF01053.20,Cys_Met_Meta_PP
PF11559.8,ADIP
PF14593.6,PH_3
PF01979.20,Amidohydro_1
PF12824.7,MRP-L20
PF11313.8,DUF3116
PF10133.9,CooT
PF13095.6,FTA2
PF02297.17,COX6B
PF14718.6,SLT_L
PF02357.19,NusG
PF00761.20,Polyoma_coat2
PF16884.5,ADH_N_2
PF15071.6,TMEM220
PF09842.9,DUF2069
PF12527.8,DUF3727
PF10348.9,DUF2427
PF10975.8,DUF2802
PF10711.9,DUF2513
PF01501.20,Glyco_transf_8
PF10592.9,AIPR
PF13881.6,Rad60-SLD_2
PF18517.1,LZ3wCH
PF08274.12,PhnA_Zn_Ribbon
PF00186.19,DHFR_1
PF18742.1,DpnII-MboI
PF06795.11,Erythrovirus_X
PF10259.9,Rogdi_lz
PF06938.11,DUF1285
PF02259.23,FAT
PF13605.6,DUF4141
PF09500.10,YiiD_C
PF18587.1,PLL
PF16571.5,FBP_C
PF12480.8,DUF3699
PF10726.9,DUF2518
PF15623.6,CT47
PF11171.8,DUF2958
PF02815.19,MIR
PF13891.6,zf-C3Hc3H
PF09804.9,DUF2347
PF05093.13,CIAPIN1
PF17451.2,Glyco_hyd_101C
PF05904.11,DUF863
PF11647.8,MLD
PF09897.9,DUF2124
PF13146.6,TRL
PF10240.9,DUF2464
PF13349.6,DUF4097
PF00094.25,VWD
PF07979.11,Intimin_C
PF04720.12,PDDEXK_6
PF15420.6,Abhydrolase_9_N
PF18822.1,CdvA
PF00595.24,PDZ
PF07896.12,DUF1674
PF06917.12,Pectate_lyase_2
PF10405.9,BHD_3
PF05144.14,Phage_CRI
PF00043.25,GST_C
PF16291.5,DUF4937
PF08892.11,YqcI_YcgG
PF08974.10,DUF1877
PF18050.1,Cyclophil_like2
PF17720.1,DUF5565
PF01950.16,FBPase_3
PF05794.13,Tcp11
PF07679.16,I-set
PF16422.5,COE1_DBD
PF08534.10,Redoxin
PF15508.6,NAAA-beta
PF12960.7,DUF3849
PF10607.9,CLTH
PF12912.7,N_NLPC_P60
PF14975.6,DUF4512
PF12830.7,Nipped-B_C
PF12954.7,DUF3843
PF17884.1,DUF5591
PF10020.9,DUF2262
PF15036.6,IL34
PF13614.6,AAA_31
PF07156.14,Prenylcys_lyase
PF11443.8,DUF2828
PF11538.8,Snurportin1
PF00399.19,PIR
PF18718.1,CxC5
PF04904.13,NCD1
PF18314.1,FAS_I_H
PF08466.10,IRK_N
PF16932.5,T4SS_TraI
PF11873.8,Mltc_N
PF15760.5,DLEU7
PF04527.12,Retinin_C
PF12900.7,Pyridox_ox_2
PF18073.1,Rubredoxin_2
PF10988.8,DUF2807
PF04115.12,Ureidogly_lyase
PF15186.6,TEX13
PF08429.11,PLU-1
PF11707.8,Npa1
PF18322.1,CLIP_1
PF16648.5,Calpain_u2
PF15888.5,FOG_N
PF07372.12,DUF1491
PF01261.24,AP_endonuc_2
PF07647.17,SAM_2
PF12187.8,VirArc_Nuclease
PF06849.12,DUF1246
PF10031.9,DUF2273
PF18043.1,T4_Rnl2_C
PF11928.8,DUF3446
PF01493.19,GXGXG
PF03962.15,Mnd1
PF05004.13,IFRD
PF11611.8,DUF4352
PF12390.8,Se-cys_synth_N
PF17267.2,DUF5333
PF18308.1,GGA_N-GAT
PF14372.6,DUF4413
PF02554.14,CstA
PF03848.14,TehB
PF01454.19,MAGE
PF10375.9,GRAB
PF15980.5,ComGF
PF02046.15,COX6A
PF05753.14,TRAP_beta
PF10026.9,DUF2268
PF03303.13,WTF
PF11241.8,DUF3043
PF14054.6,DUF4249
PF08249.11,Mastoparan
PF08961.10,NRBF2
PF00106.25,adh_short
PF16029.5,DUF4787
PF04221.12,RelB
PF01978.19,TrmB
PF13955.6,Fst_toxin
PF11297.8,DUF3098
PF14896.6,Arabino_trans_C
PF13782.6,SpoVAB
PF18570.1,Nup54_57_C
PF07215.11,DUF1419
PF00042.22,Globin
PF14216.6,DUF4326
PF09084.11,NMT1
PF09317.11,DUF1974
PF03534.13,SpvB
PF17262.2,Cas6b_C
PF11902.8,DUF3422
PF02897.15,Peptidase_S9_N
PF16981.5,Chi-conotoxin
PF04711.13,ApoA-II
PF00411.19,Ribosomal_S11
PF11716.8,MDMPI_N
PF03165.16,MH1
PF04233.14,Phage_Mu_F
PF01943.17,Polysacc_synt
PF05839.11,Apc13p
PF09788.9,Tmemb_55A
PF14116.6,YyzF
PF09440.10,eIF3_N
PF08681.11,DUF1778
PF11139.8,SfLAP
PF05647.11,Epiglycanin_TR
PF10502.9,Peptidase_S26
PF12285.8,DUF3621
PF02440.15,Adeno_E3_CR1
PF04921.14,XAP5
PF13201.6,PCMD
PF03339.14,Pox_L3_FP4
PF12058.8,DUF3539
PF12274.8,DUF3615
PF00316.20,FBPase
PF06836.12,DUF1240
PF03118.15,RNA_pol_A_CTD
PF02210.24,Laminin_G_2
PF01716.18,MSP
PF12005.8,DUF3499
PF18312.1,ScsC_N
PF16746.5,BAR_3
PF12869.7,tRNA_anti-like
PF16275.5,SF1-HH
PF15395.6,DUF4617
PF13902.6,R3H-assoc
PF18553.1,PheRS_DBD3
PF07039.11,DUF1325
PF10792.9,DUF2605
PF01122.19,Cobalamin_bind
PF07867.11,DUF1654
PF06978.11,POP1
PF09875.9,DUF2102
PF07915.13,PRKCSH
PF11943.8,DUF3460
PF11907.8,DUF3427
PF10563.9,CA_like
PF09034.10,TRADD_N
PF03476.16,MOSC_N
PF03422.15,CBM_6
PF09843.9,DUF2070
PF03369.13,Herpes_UL3
PF02621.14,VitK2_biosynth
PF08395.12,7tm_7
PF08401.11,DUF1738
PF12785.7,VESA1_N
PF08780.11,NTase_sub_bind
PF11702.8,DUF3295
PF16628.5,Mac_assoc
PF06625.11,DUF1151
PF13355.6,DUF4101
PF01186.17,Lysyl_oxidase
PF03917.17,GSH_synth_ATP
PF17282.2,DUF5347
PF04614.12,Pex19
PF13875.6,DUF4202
PF08870.11,DndE
PF11341.8,DUF3143
PF04083.16,Abhydro_lipase
PF03589.13,Antiterm
PF06745.13,ATPase
PF07786.12,DUF1624
PF09858.9,DUF2085
PF00879.18,Defensin_propep
PF17333.2,DEFB136
PF17415.2,NigD_C
PF13588.6,HSDR_N_2
PF03189.13,Otopetrin
PF16516.5,CC2-LZ
PF07580.14,Peptidase_M26_C
PF08283.11,Gemini_AL1_M
PF04932.15,Wzy_C
PF00549.19,Ligase_CoA
PF15775.5,DUF4703
PF17767.1,NAPRTase_N
PF01844.23,HNH
PF13308.6,YARHG
PF17979.1,zf-CRD
PF05227.13,CHASE3
PF14560.6,Ubiquitin_2
PF02579.17,Nitro_FeMo-Co
PF13391.6,HNH_2
PF03688.14,Nepo_coat_C
PF12754.7,Blt1
PF00570.23,HRDC
PF18444.1,RRM_9
PF07855.12,ATG101
PF12483.8,GIDE
PF12569.8,NARP1
PF10636.9,hemP
PF00035.26,dsrm
PF15890.5,Peptidase_Mx1
PF11375.8,DUF3177
PF13307.6,Helicase_C_2
PF00483.23,NTP_transferase
PF07400.11,IL11
PF14706.6,Tnp_DNA_bind
PF17500.2,Colicin_K
PF16317.5,Glyco_hydro_99
PF00136.21,DNA_pol_B
PF01739.18,CheR
PF16978.5,CRIM
PF18011.1,Catalase_C
PF06934.11,CTI
PF17906.1,HTH_48
PF00154.21,RecA
PF13796.6,Sensor
PF15165.6,REC114-like
PF12512.8,DUF3717
PF17797.1,RL
PF18204.1,PGF-CTERM
PF03601.14,Cons_hypoth698
PF15038.6,Jiraiya
PF11636.8,Troponin-I_N
PF10768.9,FliX
PF01033.17,Somatomedin_B
PF02321.18,OEP
PF01364.18,Peptidase_C25
PF09766.9,FmiP_Thoc5
PF16316.5,DUF4956
PF14414.6,WHH
PF05477.11,SURF2
PF14643.6,DUF4455
PF09478.10,CBM49
PF05176.14,ATP-synt_10
PF18013.1,Phage_lysozyme2
PF00758.18,EPO_TPO
PF18069.1,DR2241
PF12795.7,MscS_porin
PF01363.21,FYVE
PF13607.6,Succ_CoA_lig
PF01568.21,Molydop_binding
PF13047.6,DUF3907
PF14616.6,DUF4451
PF01852.19,START
PF12300.8,RhlB
PF02940.15,mRNA_triPase
PF08690.10,GET2
PF01082.20,Cu2_monooxygen
PF04752.12,ChaC
PF16844.5,DIMCO_N
PF11205.8,DUF2987
PF02435.16,Glyco_hydro_68
PF09692.10,Arb1
PF08409.11,DUF1736
PF05864.12,Chordopox_RPO7
PF03357.21,Snf7
PF09586.10,YfhO
PF06235.11,NAD4L
PF04165.12,DUF401
PF08622.10,Svf1
PF00060.26,Lig_chan
PF16200.5,Band_7_C
PF06634.12,DUF1156
PF15334.6,AIB
PF11816.8,DUF3337
PF05831.11,GAGE
PF11919.8,DUF3437
PF13369.6,Transglut_core2
PF14606.6,Lipase_GDSL_3
PF11095.8,Gemin7
PF06319.12,MmcB-like
PF10608.9,MAGUK_N_PEST
PF14760.6,Rnk_N
PF04173.13,DoxD
PF16478.5,DUF5055
PF06283.11,ThuA
PF04021.12,Class_IIIsignal
PF12248.8,Methyltransf_FA
PF16930.5,Porin_5
PF02581.17,TMP-TENI
PF04260.12,DUF436
PF03604.13,DNA_RNApol_7kD
PF01405.17,PsbT
PF14274.6,DUF4361
PF14887.6,HMG_box_5
PF14194.6,Cys_rich_VLP
PF12030.8,DUF3517
PF13479.6,AAA_24
PF08311.12,Mad3_BUB1_I
PF09946.9,DUF2178
PF14638.6,FNIP_C
PF03151.16,TPT
PF18661.1,AvrLm4-7
PF10309.9,NCBP3
PF17922.1,TetR_C_17
PF04762.12,IKI3
PF03594.13,BenE
PF14988.6,DUF4515
PF05280.11,FlhC
PF03695.13,UPF0149
PF10315.9,Aim19
PF15656.6,Tox-HDC
PF07163.12,Pex26
PF02982.14,Scytalone_dh
PF14080.6,DUF4261
PF15577.6,Spc7_C2
PF11084.8,DUF2621
PF14195.6,DUF4316
PF14312.6,FG-GAP_2
PF04106.12,APG5
PF14886.6,FAM183
PF08889.11,WbqC
PF16927.5,HisKA_7TM
PF13332.6,Fil_haemagg_2
PF16566.5,CREPT
PF03448.17,MgtE_N
PF12712.7,DUF3805
PF08971.11,GlgS
PF06507.13,Auxin_resp
PF12088.8,DUF3565
PF07485.11,DUF1529
PF09112.10,N-glycanase_N
PF16827.5,zf-HC3
PF10419.9,TFIIIC_sub6
PF12600.8,DUF3769
PF17483.2,TbpB_C
PF06903.12,VirK
PF02074.15,Peptidase_M32
PF00798.18,Arena_glycoprot
PF13961.6,DUF4219
PF00928.21,Adap_comp_sub
PF14069.6,SpoVIF
PF17730.1,Centro_C10orf90
PF09756.9,DDRGK
PF08646.10,Rep_fac-A_C
PF02151.19,UVR
PF18019.1,HD_6
PF08202.11,MIS13
PF16822.5,ALGX
PF18175.1,HU-CCDC81_bac_2
PF17528.2,DUF5449
PF17732.1,DUF5571
PF09407.10,AbiEi_1
PF12529.8,Xylo_C
PF12132.8,DUF3587
PF12953.7,DUF3842
PF11124.8,Pho86
PF02038.16,ATP1G1_PLM_MAT8
PF12366.8,Casc1
PF15287.6,KRBA1
PF13873.6,Myb_DNA-bind_5
PF02343.16,TRA-1_regulated
PF13743.6,Thioredoxin_5
PF13451.6,zf-trcl
PF08865.11,DUF1830
PF03069.15,FmdA_AmdA
PF10318.9,7TM_GPCR_Srh
PF07809.11,RTP801_C
PF01025.19,GrpE
PF18161.1,ISP1_C
PF18506.1,RelB_N
PF06100.11,MCRA
PF12594.8,DUF3764
PF13455.6,MUG113
PF03896.16,TRAP_alpha
PF07531.14,TAFH
PF09615.10,Cas_Csy3
PF15002.6,ERK-JNK_inhib
PF18334.1,XRN1_D2_D3
PF00752.17,XPG_N
PF09991.9,DUF2232
PF16126.5,DUF4838
PF00011.21,HSP20
PF15101.6,TERB2
PF04119.12,HSP9_HSP12
PF06297.14,PET
PF07027.12,DUF1318
PF01696.17,Adeno_E1B_55K
PF08802.10,CytB6-F_Fe-S
PF00254.28,FKBP_C
PF17542.2,RP853
PF15926.5,RNF220
PF06399.13,GFRP
PF07532.11,Big_4
PF03530.14,SK_channel
PF05405.14,Mt_ATP-synt_B
PF14350.6,Beta_protein
PF07624.11,PSD2
PF05133.14,Phage_prot_Gp6
PF13675.6,PilJ
PF03126.18,Plus-3
PF01279.17,Parathyroid
PF11329.8,DUF3131
PF11893.8,DUF3413
PF10042.9,DUF2278
PF08572.10,PRP3
PF18105.1,PGM1_C
PF07835.12,COX4_pro_2
PF16020.5,Deltameth_res
PF13872.6,AAA_34
PF08094.11,Toxin_24
PF15949.5,DUF4757
PF16608.5,TNRC6-PABC_bdg
PF16500.5,Cyclin_N2
PF17931.1,TetR_C_23
PF05131.14,Pep3_Vps18
PF12328.8,Rpp20
PF09911.9,DUF2140
PF08421.11,Methyltransf_13
PF01286.18,XPA_N
PF01581.16,FARP
PF08774.11,VRR_NUC
PF13811.6,DUF4186
PF08839.11,CDT1
PF08418.10,Pol_alpha_B_N
PF00114.19,Pilin
PF15478.6,LKAAEAR
PF06545.11,DUF1116
PF17830.1,STI1
PF07281.12,INSIG
PF02489.16,Herpes_glycop_H
PF16894.5,DUF5084
PF09339.10,HTH_IclR
PF14348.6,DUF4400
PF00024.26,PAN_1
PF14266.6,YceG_bac
PF07728.14,AAA_5
PF10677.9,DUF2490
PF01537.17,Herpes_glycop_D
PF04765.13,DUF616
PF15299.6,ALS2CR8
PF17293.2,Arm-DNA-bind_5
PF00757.20,Furin-like
PF02423.15,OCD_Mu_crystall
PF07680.11,DoxA
PF14265.6,DUF4355
PF16094.5,PAC1
PF00375.18,SDF
PF06739.11,SBBP
PF06544.12,DUF1115
PF04029.14,2-ph_phosp
PF14125.6,DUF4292
PF15035.6,Rootletin
PF05569.11,Peptidase_M56
PF01882.18,DUF58
PF13560.6,HTH_31
PF07588.11,DUF1554
PF06400.11,Alpha-2-MRAP_N
PF11181.8,YflT
PF00404.18,Dockerin_1
PF11563.8,Protoglobin
PF04508.12,Pox_A_type_inc
PF03800.14,Nuf2
PF11173.8,DUF2960
PF07869.12,DUF1656
PF14864.6,Alkyl_sulf_C
PF07571.13,TAF6_C
PF04437.13,RINT1_TIP1
PF14456.6,alpha-hel2
PF05139.14,Erythro_esteras
PF02999.14,Borrelia_orfD
PF14739.6,DUF4472
PF14901.6,Jiv90
PF17771.1,ADAM_CR_2
PF18727.1,ALMS_repeat
PF15884.5,QIL1
PF02591.15,zf-RING_7
PF12657.7,TFIIIC_delta
PF11207.8,DUF2989
PF04696.13,Pinin_SDK_memA
PF16122.5,40S_SA_C
PF09347.10,DUF1989
PF14753.6,FAM221
PF13621.6,Cupin_8
PF12287.8,Caprin-1_C
PF11178.8,DUF2963
PF06273.11,eIF-4B
PF15068.6,FAM101
PF07881.12,Fucose_iso_N1
PF13483.6,Lactamase_B_3
PF17159.4,MASE3
PF00081.22,Sod_Fe_N
PF06868.11,DUF1257
PF00377.18,Prion
PF17198.4,AveC_like
PF12969.7,DUF3857
PF08068.12,DKCLD
PF13509.6,S1_2
PF09279.11,EF-hand_like
PF17748.1,VID27_N
PF00881.24,Nitroreductase
PF15819.5,Fibin
PF18524.1,HPIP_like
PF04807.12,Gemini_AC4_5
PF04922.12,DIE2_ALG10
PF14098.6,SSPI
PF00392.21,GntR
PF14223.6,Retrotran_gag_2
PF03392.13,OS-D
PF05924.11,SAMP
PF08928.10,DUF1910
PF03984.13,DUF346
PF10488.9,PP1c_bdg
PF06124.11,DUF960
PF09782.9,NDUF_B6
PF15096.6,G6B
PF09095.11,DUF1926
PF00441.24,Acyl-CoA_dh_1
PF15627.6,CEP76-C2
PF11159.8,DUF2939
PF16095.5,COR
PF18854.1,baeRF_family10
PF00964.17,Elicitin
PF04778.12,LMP
PF18115.1,Tudor_3
PF00009.27,GTP_EFTU
PF00178.22,Ets
PF13910.6,DUF4209
PF16647.5,GCSF
PF07859.13,Abhydrolase_3
PF02803.18,Thiolase_C
PF06233.12,Usg
PF11655.8,DUF2589
PF05527.11,DUF758
PF09749.9,HVSL
PF02861.20,Clp_N
PF05673.13,DUF815
PF02064.15,MAS20
PF14415.6,DUF4424
PF10902.8,WYL_2
PF10698.9,DUF2505
PF08713.11,DNA_alkylation
PF13262.6,DUF4054
PF01401.18,Peptidase_M2
PF08210.11,APOBEC_N
PF04448.12,DUF551
PF05786.14,Cnd2
PF12534.8,Pannexin_like
PF14591.6,AF0941-like
PF06594.11,HCBP_related
PF08593.10,DUF1773
PF00533.26,BRCT
PF06067.11,DUF932
PF07020.11,Orthopox_C10L
PF13680.6,DUF4152
PF09330.11,Lact-deh-memb
PF16036.5,Chalcone_3
PF05610.11,DUF779
PF08876.11,DUF1836
PF11887.8,Mce4_CUP1
PF05926.11,Phage_GPL
PF13994.6,PgaD
PF14076.6,DUF4258
PF09512.10,ThiW
PF08616.10,SPA
PF09453.10,HIRA_B
PF11035.8,SnAPC_2_like
PF09037.10,Sulphotransf
PF02291.15,TFIID-31kDa
PF05841.11,Apc15p
PF15763.5,DUF4692
PF12116.8,SpoIIID
PF14930.6,Qn_am_d_aII
PF18413.1,Neuraminidase
PF08075.11,NOPS
PF01247.18,Ribosomal_L35Ae
PF13926.6,DUF4211
PF06601.12,Orthopox_F6
PF00435.21,Spectrin
PF14364.6,DUF4408
PF15356.6,SPR1
PF13996.6,YobH
PF03511.14,Fanconi_A
PF15145.6,DUF4577
PF07778.11,CENP-I
PF12231.8,Rif1_N
PF17161.4,DUF5123
PF11912.8,DUF3430
PF08226.11,DUF1720
PF12991.7,DUF3875
PF11197.8,DUF2835
PF07709.11,SRR
PF12597.8,DUF3767
PF03103.17,DUF243
PF09538.10,FYDLN_acid
PF06062.11,UPF0231
PF14873.6,BNR_assoc_N
PF06779.14,MFS_4
PF18139.1,LSDAT_euk
PF10374.9,EST1
PF01746.21,tRNA_m1G_MT
PF07517.14,SecA_DEAD
PF08314.11,Sec39
PF17724.1,DUF5568
PF16759.5,LIG3_BRCT
PF18367.1,Rv2175c_C
PF18125.1,RlmM_FDX
PF17203.4,sCache_3_2
PF06923.11,GutM
PF07133.11,Merozoite_SPAM
PF12901.7,SUZ-C
PF01111.19,CKS
PF17983.1,Tryp_inh
PF09456.10,RcsC
PF11679.8,DUF3275
PF11635.8,Med16
PF09558.10,DUF2375
PF07595.12,Planc_extracel
PF10501.9,Ribosomal_L50
PF04286.12,DUF445
PF10267.9,Tmemb_cc2
PF11433.8,DUF3198
PF18397.1,IKBKB_SDD
PF09798.9,LCD1
PF00027.29,cNMP_binding
PF01468.17,GA
PF00962.22,A_deaminase
PF14770.6,TMEM18
PF04348.13,LppC
PF15262.6,DUF4592
PF02390.17,Methyltransf_4
PF15661.5,CF222
PF09789.9,DUF2353
PF10598.9,RRM_4
PF16408.5,DUF5016
PF16706.5,Izumo-Ig
PF05066.13,HARE-HTH
PF07032.11,DUF1322
PF10151.9,TMEM214
PF18288.1,FAA_hydro_N_2
PF03644.13,Glyco_hydro_85
PF02496.16,ABA_WDS
PF06353.12,DUF1062
PF08888.11,HopJ
PF14337.6,DUF4393
PF12420.8,DUF3671
PF10908.8,DUF2778
PF11849.8,DUF3369
PF10174.9,Cast
PF00248.21,Aldo_ket_red
PF08611.10,DUF1774
PF16553.5,PUFD
PF15976.5,CooC_C
PF18307.1,Tfb2_C
PF14375.6,Cys_rich_CWC
PF04839.13,PSRP-3_Ycf65
PF16854.5,VPS53_C
PF15037.6,IL17_R_N
PF14052.6,Caps_assemb_Wzi
PF10251.9,PEN-2
PF02797.15,Chal_sti_synt_C
PF04749.17,PLAC8
PF00120.24,Gln-synt_C
PF11464.8,Rbsn
PF10182.9,Flo11
PF06328.11,Lep_receptor_Ig
PF16700.5,SNCAIP_SNCA_bd
PF06203.14,CCT
PF04925.15,SHQ1
PF10567.9,Nab6_mRNP_bdg
PF16428.5,DUF5025
PF15814.5,FAM199X
PF14672.6,LCE
PF04947.14,Pox_VLTF3
PF13629.6,T2SS-T3SS_pil_N
PF07223.11,DUF1421
PF07904.13,Eaf7
PF13477.6,Glyco_trans_4_2
PF12687.7,DUF3801
PF05827.12,ATP-synt_S1
PF00821.18,PEPCK_GTP
PF01210.23,NAD_Gly3P_dh_N
PF15228.6,DAP
PF18219.1,SidC_N
PF08247.11,ENOD40
PF04979.14,IPP-2
PF17010.5,DUF5092
PF06378.11,DUF1071
PF08219.11,TOM13
PF16265.5,DUF4918
PF08883.11,DOPA_dioxygen
PF18149.1,Helicase_PWI
PF14780.6,DUF4477
PF08013.11,Tagatose_6_P_K
PF12373.8,Msg2_C
PF15335.6,CAAP1
PF07315.11,DUF1462
PF02055.16,Glyco_hydro_30
PF09234.10,DUF1963
PF00999.21,Na_H_Exchanger
PF10648.9,Gmad2
PF18138.1,bacHORMA_1
PF00634.18,BRCA2
PF11287.8,DUF3088
PF11162.8,DUF2946
PF13653.6,GDPD_2
PF06008.14,Laminin_I
PF06013.12,WXG100
PF11446.8,DUF2897
PF02783.15,MCR_beta_N
PF06646.11,Mycoplasma_p37
PF02065.18,Melibiase
PF11909.8,NdhN
PF05715.13,zf-piccolo
PF14645.6,Chibby
PF03815.19,LCCL
PF06598.11,Chlorovi_GP_rpt
PF03950.18,tRNA-synt_1c_C
PF12484.8,PE_PPE_C
PF06701.13,MIB_HERC2
PF13215.6,DUF4023
PF16925.5,TetR_C_13
PF00697.22,PRAI
PF18370.1,RGI_lyase
PF05793.12,TFIIF_alpha
PF17396.2,DUF1611_N
PF16625.5,ISET-FN3_linker
PF02957.15,TT_ORF2
PF02203.15,TarH
PF05498.11,RALF
PF09316.10,Cmyb_C
PF16032.5,DUF4788
PF12422.8,Condensin2nSMC
PF14659.6,Phage_int_SAM_3
PF18833.1,TPR_22
PF17106.5,NACHT_sigma
PF09495.10,DUF2462
PF06916.13,DUF1279
PF03833.13,PolC_DP2
PF14267.6,DUF4357
PF02492.19,cobW
PF01734.22,Patatin
PF15602.6,Imm71
PF11017.8,DUF2855
PF18858.1,LPD39
PF14396.6,CFTR_R
PF10387.9,DUF2442
PF06772.11,LtrA
PF14121.6,Porin_10
PF17193.4,MukF_C
PF08435.11,Calici_coat_C
PF00415.18,RCC1
